product_id,category,subgroup,title,notes,amazon_url,image_url,group_id,group_label,Option_Label,Item_ID,Range_ID,tanksize,length,depth,affiliate,tag
WT01,Water Treatments & Fertilizers,Conditioners & Bacteria,Seachem 437 Prime Fresh and Saltwater Conditioner – Chemical Remover and Detoxifier 1 L,"Highly concentrated dechlorinator that binds chlorine, chloramine, and ammonia in seconds.",https://amzn.to/4h8EfKz,,wt-core,Recommended Water Treatments & Fertilizers,Option 1,water_treatments-wt-core-01,wt-core,,,,amazon,fishkeepingli-20
WT02,Water Treatments & Fertilizers,Conditioners & Bacteria,"Seachem Stability Fish Tank Stabilizer – For Freshwater and Marine Aquariums, 16.9 Fl Oz (Pack of 1)",Robust nitrifying bacteria culture that quickly establishes and supports biofilters.,https://amzn.to/4gYNUDf,,wt-core,Recommended Water Treatments & Fertilizers,Option 2,water_treatments-wt-core-02,wt-core,,,,amazon,fishkeepingli-20
WT03,Water Treatments & Fertilizers,Conditioners & Bacteria,API TAP WATER CONDITIONER Aquarium Water Conditioner 16-Ounce Bottle,Instantly detoxifies tap water while protecting beneficial bacteria and slime coats.,https://amzn.to/48d12T7,,wt-core,Recommended Water Treatments & Fertilizers,Option 3,water_treatments-wt-core-03,wt-core,,,,amazon,fishkeepingli-20
WT04,Water Treatments & Fertilizers,Conditioners & Bacteria,"Tetra AquaSafe Plus – Aquarium Water Conditioner and Dechlorinator, 33.8 Ounces","Neutralizes chlorine, chloramine, and heavy metals with added vitamins for stress relief.",https://amzn.to/4q3itMw,,wt-core,Recommended Water Treatments & Fertilizers,Option 4,water_treatments-wt-core-04,wt-core,,,,amazon,fishkeepingli-20
MT01,maintenance_tools,Testing,"VIVOSUN Digital pH and TDS Meter Kits, 0.01 pH High Accuracy Pen Type pH Meter ±2% Readout Accuracy 3-in-1 TDS EC Temperature Meter for Hydroponics, Pool, and Aquarium, Yellow Blue, UL Certified","Dual meters read pH, EC, TDS, and temperature so you can catch swings before livestock feel stress.",https://amzn.to/46F70el,,maintenance-testing,Testing & Monitoring,Option 1,maintenance-maintenance-testing-01,maintenance-testing,,,,amazon,fishkeepingli-20
MT02,maintenance_tools,Testing,"API FRESHWATER MASTER TEST KIT 800-Test Freshwater Aquarium Water Master Test Kit, White, Single, Multi-colored","Liquid ammonia, nitrite, nitrate, and pH tests deliver precise water chemistry tracking for weekly logs.",https://amzn.to/3KDF7L9,,maintenance-testing,Testing & Monitoring,Option 2,maintenance-maintenance-testing-02,maintenance-testing,,,,amazon,fishkeepingli-20
MT03,maintenance_tools,Cleaning,"Tetra Water Cleaner Gravel Siphon for Aquariums, Easily Clean Freshwater Aquariums",Starter siphon removes waste from substrate while keeping fish safe with a debris guard and priming bulb.,https://amzn.to/4pPCA0m,,maintenance-cleaning,Water Change & Cleaning,Option 1,maintenance-maintenance-cleaning-01,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT04,maintenance_tools,Cleaning,"Gravel Vacuum for Aquarium Water Changer Fish Tank Cleaning Tools, Siphon Universal Quick Pump Aquarium Water Changing (50 ft)",50-foot hose reaches sinks with ease so you can drain and refill without lugging heavy buckets.,https://amzn.to/4nEtZw1,,maintenance-cleaning,Water Change & Cleaning,Option 2,maintenance-maintenance-cleaning-02,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT05,maintenance_tools,Cleaning,Aquarium Coral Feeder Fish Feeder Waste Clean Tool Manual Cleaner Water Changer Fish Tank Cleaning Tool Siphon Dropper Waste Remover Aquatic Bottom Pipette (25 in),Target-feed corals or spot-clean debris in tight spaces using this precise squeeze dropper.,https://amzn.to/3KCBLYK,,maintenance-cleaning,Water Change & Cleaning,Option 3,maintenance-maintenance-cleaning-03,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT06,maintenance_tools,Cleaning,Flipper Magnetic Aquarium Glass Cleaner & Fish Tank Accessories | Effortless Algae Remover for Fish Tank (Nano),Compact magnetic cleaner glides around corners on nano tanks without scratching glass.,https://amzn.to/3KXWUMZ,,maintenance-cleaning,Water Change & Cleaning,Option 4,maintenance-maintenance-cleaning-04,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT07,maintenance_tools,Cleaning,Flipper Magnetic Aquarium Glass Cleaner & Fish Tank Accessories | Effortless Algae Remover for Fish Tank (Standard),Standard Flipper handles thicker glass on mid-sized tanks and flips between scrubber and blade instantly.,https://amzn.to/46Ml1Wc,,maintenance-cleaning,Water Change & Cleaning,Option 5,maintenance-maintenance-cleaning-05,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT08,maintenance_tools,Cleaning,"25"" Glass Aquariums Algae Scraper – Durable Stainless Steel, Powerfully Remove Stubborn Algae, Professional Fish Tank Cleaner Tools, Includes Sheath, Long Tweezers & 10 Replaceable Blades",Stainless handle with replaceable blades powers through stubborn algae on tall panels.,https://amzn.to/4nySNFL,,maintenance-cleaning,Water Change & Cleaning,Option 6,maintenance-maintenance-cleaning-06,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT09,maintenance_tools,Cleaning,API ALGAE SCRAPER For Glass Aquariums 1-Count Container,Handheld scraper keeps front glass clear between deep cleans and tucks easily into a maintenance kit.,https://amzn.to/3Wqbmjr,,maintenance-cleaning,Water Change & Cleaning,Option 7,maintenance-maintenance-cleaning-07,maintenance-cleaning,,,,amazon,fishkeepingli-20
MT10,maintenance_tools,Safety,"Power Strip, ALESTOR Surge Protector with 12 Outlets and 4 USB Ports, 6 Feet Extension Cord (1875W/15A), 2700 Joules, ETL Listed, Black",High-capacity surge protector keeps multiple aquarium devices powered while taming cord clutter.,https://amzn.to/3J22Ynb,,maintenance-safety,Safety & Power,Option 1,maintenance-maintenance-safety-01,maintenance-safety,,,,amazon,fishkeepingli-20
MT11,maintenance_tools,Safety,"meross Smart Plug Power Strip, WiFi Flat Outlet 15A Compatible with Apple HomeKit, Siri, Alexa, Google Assistant & SmartThings, with 4 AC Outlets & 4 USB Ports, 6 Feet Surge Protector Extender",App-connected strip adds remote control and scheduling plus built-in surge protection for core gear.,https://amzn.to/437noBU,,maintenance-safety,Safety & Power,Option 2,maintenance-maintenance-safety-02,maintenance-safety,,,,amazon,fishkeepingli-20
MT12,maintenance_tools,Safety,"Meross Smart Water Sensor Alarm 3 Pack, WiFi Water Leak Detector Support Apple HomeKit, SmartThings, IP67 Waterproof with App Alerts, Alarm, 100M Range for Home Basement Kitchen (Meross Hub Included)",Linked leak sensors send instant alerts so you can shut off equipment before water reaches outlets.,https://amzn.to/42sP4ky,,maintenance-safety,Safety & Power,Option 3,maintenance-maintenance-safety-03,maintenance-safety,,,,amazon,fishkeepingli-20
MT13,maintenance_tools,Safety,"Linkind Matter Smart Plug, Works with Apple Home, Siri, Alexa, Google, SmartThings, Smart Outlet 15A/1800W Max, Smart Home Automation, App Remote Control, Timer & Schedule, 2.4G Wi-Fi Only (4 Pack)",Matter-ready smart plugs label critical gear and enable quick shutoffs without unplugging cords.,https://amzn.to/3KDGMQT,,maintenance-safety,Safety & Power,Option 4,maintenance-maintenance-safety-04,maintenance-safety,,,,amazon,fishkeepingli-20
